Actual Labels,Yes Probabilities
1,0.5235089933733039
0,0.3073993471164309
0,0.5
0,0.31402273957769355
0,0.445506121230218
0,0.5427487598482638
0,0.4727015558698727
0,0.3007726269315673
0,0.37751479289940826
0,0.5658870507701084
0,0.5544938787697821
0,0.36654033567948024
0,0.5390674228103339
1,0.6369390103567318
0,0.39222222222222225
0,0.37372654155495977
1,0.47264123040520556
0,0.352327221438646
0,0.4149305555555556
0,0.4803715912496254
1,0.5737503833180007
0,0.49619181946403385
0,0.6826312752452395
0,0.43405149763531264
0,0.37379466817923995
1,0.4109551334984861
1,0.4416866826794769
0,0.5698956780923994
0,0.4187604690117253
0,0.4648880711438209
1,0.4805159903251814
0,0.5850340136054422
1,0.5351681957186545
1,0.3923140724357202
1,0.5621333333333334
0,0.7122648388508094
0,0.5156633906633906
1,0.4844337090713902
1,0.6260896637608966
0,0.7773128777312878
0,0.30410821643286573
0,0.43400447427293065
0,0.44935936546674804
0,0.4921941527107579
0,0.445433658816772
0,0.546720835751596
1,0.4110738255033557
0,0.4494249483928045
0,0.352112676056338
0,0.4034311012728279
1,0.5390030977189524
0,0.46878453038674034
0,0.29099973760167935
0,0.695940347970174
1,0.4494130799329234
0,0.558303886925795
0,0.6370048833423766
0,0.5117175912192228
0,0.2909888974954815
0,0.8688221051132318
1,0.644310690742333
0,0.46868191721132896
0,0.546720835751596
0,0.38873994638069703
0,0.4300561797752809
0,0.5812447197972402
1,0.5659465605457646
0,0.43783602150537637
1,0.396078431372549
0,0.5156295647093193
0,0.4727120067170445
0,0.3380281690140845
0,0.48441771459814104
0,0.49214248297537977
1,0.6298796595245084
0,0.5889410537297861
0,0.35942270330280324
0,0.5776312173674086
0,0.6188769414575866
0,0.42638623326959846
0,0.41505257332595463
1,0.6619217081850534
1,0.42627572596560476
0,0.5234972677595628
0,0.44556162022407353
0,0.5077630822311673
0,0.573735199138859
1,0.41876675603217156
1,0.5924895688456189
0,0.5851998865891692
1,0.4455002794857462
0,0.5697890818858561
0,0.4843796489140137
0,0.34513274336283184
0,0.5273019271948608
0,0.3775280898876405
1,0.4034904923157072
0,0.2720146328717011
0,0.42237503306003704
1,0.5888107612350963
0,0.3379424778761062
0,0.6991869918699187
0,0.5504740658114892
0,0.4416184971098266
0,0.6187996711427789
0,0.30416881111682964
0,0.43392008941044985
0,0.4649025069637883
0,0.3312157089228992
0,0.48824343015214383
0,0.5194428322692978
0,0.38856812933025403
0,0.44163364827796403
0,0.4339194554736245
0,0.4649223691776883
0,0.6261327097339959
0,0.5621451104100946
1,0.6758166346417788
0,0.519564577817005
1,0.5429227677289693
1,0.5545350172215844
0,0.5583173996175909
0,0.4843273231622746
1,0.49217193282095073
0,0.5466593042517945
1,0.3998360207707024
0,0.5233946434333656
1,0.6262150220913107
1,0.2975416784402374
1,0.5312862108922364
0,0.27209426888055704
0,0.4262569832402235
0,0.5273783185840708
0,0.345088161209068
0,0.44943147815679235
0,0.414962325080732
